,iata,name,city,country,latitude,longitude,altitude
1219,CQF,Calais-Dunkerque Airport,Calais,France,50.96210098266602,1.954759955406189,12
1224,LTQ,Le Touquet-Côte d'Opale Airport,Le Tourquet,France,50.51739883422852,1.6205899715423584,36
1227,AGF,Agen-La Garenne Airport,Agen,France,44.17470169067383,0.5905560255050659,204
1229,BOD,Bordeaux-Mérignac Airport,Bordeaux,France,44.8283004761,-0.7155560255050001,162
1230,EGC,Bergerac-Roumanière Airport,Bergerac,France,44.82529830932617,0.5186110138893127,171
1232,CNG,Cognac-Châteaubernard (BA 709) Air Base,Cognac,France,45.65829849243164,-0.3174999952316284,102
1233,PIS,Poitiers-Biard Airport,Poitiers,France,46.58769989013672,0.30666598677635193,423
1234,MCU,Montluçon-Guéret Airport,Montlucon-gueret,France,46.22259902954102,2.3639600276947017,1497
1235,LIG,Limoges Airport,Limoges,France,45.86280059814453,1.1794400215148926,1300
1237,NIT,Niort-Souché Airport,Niort,France,46.313477,-0.394529,203
1238,TLS,Toulouse-Blagnac Airport,Toulouse,France,43.629101,1.36382,499
1239,PUF,Pau Pyrénées Airport,Pau,France,43.38000106811523,-0.4186109900474548,616
1241,LDE,Tarbes-Lourdes-Pyrénées Airport,Tarbes,France,43.1786994934082,-0.006438999902456999,1260
1242,ANG,Angoulême-Brie-Champniers Airport,Angouleme,France,45.72919845581055,0.22145600616931915,436
1243,BVE,Toul Rosières Air Base,Brive,France,48.780001,5.980003,936
1244,PGX,Périgueux-Bassillac Airport,Perigueux,France,45.19810104370117,0.815555989742279,328
1245,BIQ,Biarritz-Anglet-Bayonne Airport,Biarritz-bayonne,France,43.4683333,-1.5311111000000002,245
1248,XAC,Arcachon-La Teste-de-Buch Airport,Arcachon,France,44.596401,-1.11083,49
1249,LBI,Albi-Le Séquestre Airport,Albi,France,43.91389846801758,2.1130599975585938,564
1250,DCM,Castres-Mazamet Airport,Castres,France,43.55630111694336,2.289180040359497,788
1254,RDZ,Rodez-Marcillac Airport,Rodez,France,44.407901763916016,2.4826700687408447,1910
1257,RYN,Royan-Médis Airport,Royan,France,45.62810134887695,-0.9725000262260436,72
1265,RCO,Rochefort-Saint-Agnant (BA 721) Airport,Rochefort,France,45.88779830932617,-0.9830560088157654,60
1271,CMR,Colmar-Houssen Airport,Colmar,France,48.109901428222656,7.359010219573975,628
1273,DLE,Dole-Tavaux Airport,Dole,France,47.042685999999996,5.435061,645
1276,OBS,Aubenas-Ardèche Méridional Airport,Aubenas-vals-lanas,France,44.5442008972,4.372189998630001,923
1277,LPY,Le Puy-Loudes Airport,Le Puy,France,45.0806999206543,3.7628901004791264,2731
1279,XBK,Bourg-Ceyzériat Airport,Bourg,France,46.20090103149414,5.292029857635498,857
1280,XVF,Villefranche-Tarare Airport,Vilefrance,France,45.919983,4.634931,1076
1281,XMU,Moulins-Montbeugny Airport,Moulins,France,46.53459930419922,3.423719882965088,915
1284,ETZ,Metz-Nancy-Lorraine Airport,Metz,France,48.9821014404,6.25131988525,870
1285,BIA,Bastia-Poretta Airport,Bastia,France,42.55270004272461,9.48373031616211,26
1286,CLY,Calvi-Sainte-Catherine Airport,Calvi,France,42.52444439999999,8.793055599999999,209
1287,FSC,Figari Sud-Corse Airport,Figari,France,41.5005989074707,9.097780227661133,87
1288,AJA,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,41.92359924316406,8.8029203414917,18
1290,SOZ,Solenzara (BA 126) Air Base,Solenzara,France,41.924400329589844,9.406000137329102,28
1292,AUF,Auxerre-Branches Airport,Auxerre,France,47.85020065307617,3.4971098899841313,523
1293,CMF,Chambéry-Savoie Airport,Chambery,France,45.638099670410156,5.880229949951173,779
1294,CFE,Clermont-Ferrand Auvergne Airport,Clermont-Ferrand,France,45.786701202399996,3.1691699027999998,1090
1295,BOU,Bourges Airport,Bourges,France,47.05810165405274,2.3702800273895264,529
1297,XCD,Chalon-Champforgeuil Airport,Chalon,France,46.82609939575195,4.817629814147949,623
1298,QNJ,Annemasse Airport,Annemasse,France,46.1920013428,6.268390178680002,1620
1299,LYS,Lyon Saint-Exupéry Airport,Lyon,France,45.72555560000001,5.081111099999999,821
1300,QNX,Mâcon-Charnay Airport,Macon,France,46.295101,4.79577,728
1302,RNE,Roanne-Renaison Airport,Roanne,France,46.05830001831055,4.001389980316162,1106
1303,NCY,Annecy-Haute-Savoie-Mont Blanc Airport,Annecy,France,45.930833299999996,6.106388900000001,1521
1304,GNB,Grenoble-Isère Airport,Grenoble,France,45.36289978027344,5.329370021820068,1302
1306,VAF,Valence-Chabeuil Airport,Valence,France,44.9216,4.9699,525
1307,VHY,Vichy-Charmeil Airport,Vichy,France,46.169700622558594,3.4037399291992188,817
1308,AUR,Aurillac Airport,Aurillac,France,44.89139938354492,2.4219400882720947,2096
1309,CHR,Châteauroux-Déols Marcel Dassault Airport,Chateauroux,France,46.86027778,1.7211111000000001,529
1310,LYN,Lyon-Bron Airport,Lyon,France,45.72719955444336,4.944270133972168,659
1311,QXB,Aix-en-Provence (BA 114) Airport,Aix-les-milles,France,43.5056,5.367780000000001,367
1313,CEQ,Cannes-Mandelieu Airport,Cannes,France,43.54199981689453,6.953479766845702,13
1314,EBU,Saint-Étienne-Bouthéon Airport,St-Etienne,France,45.54059982299805,4.2963900566101065,1325
1316,CCF,Carcassonne Airport,Carcassonne,France,43.21599960327149,2.3063199520111084,433
1317,MRS,Marseille Provence Airport,Marseille,France,43.439271921999996,5.22142410278,74
1318,NCE,Nice-Côte d'Azur Airport,Nice,France,43.658401489300005,7.215869903560001,12
1320,PGF,Perpignan-Rivesaltes (Llabanère) Airport,Perpignan,France,42.74039840698242,2.8706700801849365,144
1321,CTT,Le Castellet Airport,Le Castellet,France,43.25249862670898,5.785190105438232,1391
1323,MPL,Montpellier-Méditerranée Airport,Montpellier,France,43.57619857788086,3.96301007270813,17
1324,BZR,Béziers-Vias Airport,Beziers,France,43.32350158691406,3.353899955749512,56
1325,AVN,Avignon-Caumont Airport,Avignon,France,43.90729904174805,4.901830196380615,124
1328,MEN,Mende-Brenoux Airport,Mende,France,44.50210189819336,3.532819986343384,3362
1331,BVA,Paris Beauvais Tillé Airport,Beauvais,France,49.45439910888672,2.1127800941467285,359
1335,LEH,Le Havre Octeville Airport,Le Havre,France,49.53390121459961,0.08805599808692932,313
1337,ORE,Orléans-Bricy (BA 123) Air Base,Orleans,France,47.9878005981,1.7605600357100002,412
1338,XCR,Châlons-Vatry Air Base,Chalons,France,48.776100158691406,4.184490203857422,587
1339,URO,Rouen Airport,Rouen,France,49.38420104980469,1.1748000383377075,512
1340,TUF,Tours-Val-de-Loire Airport,Tours,France,47.4322013855,0.727605998516,357
1341,CET,Cholet Le Pontreau Airport,Cholet,France,47.08209991455078,-0.8770639896392822,443
1342,LVA,Laval-Entrammes Airport,Laval,France,48.03139877319336,-0.7429860234260559,330
1344,LBG,Paris-Le Bourget Airport,Paris,France,48.969398498535156,2.441390037536621,218
1345,CSF,Creil Air Base,Creil,France,49.253501892089844,2.5191400051116943,291
1346,CDG,Charles de Gaulle International Airport,Paris,France,49.0127983093,2.54999995232,392
1349,TNF,Toussus-le-Noble Airport,Toussous-le-noble,France,48.75189971923828,2.1061899662017822,538
1350,ORY,Paris-Orly Airport,Paris,France,48.7233333,2.3794444,291
1351,POX,Pontoise - Cormeilles-en-Vexin Airport,Pontoise,France,49.0966667,2.0408333,325
1354,QYR,Troyes-Barberey Airport,Troyes,France,48.32210159301758,4.01669979095459,388
1358,NVS,Nevers-Fourchambault Airport,Nevers,France,47.002601623535156,3.1133298873901367,602
