,airline_id,source_airport,destination_airport
0,1203,BOD,LIL
1,2297,BOD,LIL
2,1203,LYS,LIL
3,1203,MPL,LIL
4,1203,TLS,LIL
5,2297,TLS,LIL
6,1203,BIA,LIL
7,20577,BIA,LIL
8,137,NCE,LIL
9,2297,NCE,LIL
10,137,MRS,LIL
11,4296,MRS,LIL
12,1203,NTE,LIL
13,2684,AJA,LIL
14,20577,AJA,LIL
15,1203,BIQ,LIL
16,1203,FSC,LIL
17,1203,SXB,LIL
18,1203,BOD,LYS
19,2297,BOD,LYS
20,1203,MPL,LYS
21,137,TLS,LYS
22,596,TLS,LYS
23,2297,TLS,LYS
24,137,BIA,LYS
25,2297,BIA,LYS
26,1909,BIA,LYS
27,137,CDG,LYS
28,321,CDG,LYS
29,2009,CDG,LYS
30,2987,CDG,LYS
31,130,CDG,LYS
32,137,NCE,LYS
33,2297,NCE,LYS
34,1203,MRS,LYS
35,1203,NTE,LYS
36,3740,NTE,LYS
37,2297,NTE,LYS
38,137,AJA,LYS
39,596,AJA,LYS
40,2297,AJA,LYS
41,1909,AJA,LYS
42,1203,BES,LYS
43,2297,BES,LYS
44,1203,BIQ,LYS
45,1203,CFE,LYS
46,1203,CFR,LYS
47,1203,ETZ,LYS
48,1203,LIL,LYS
49,2117,LRT,LYS
50,137,ORY,LYS
51,1203,PIS,LYS
52,137,PIS,LYS
53,1203,PUF,LYS
54,1203,RNS,LYS
55,1203,SXB,LYS
56,3613,LIG,LYS
57,4965,LEH,LYS
58,1203,BOD,NCE
59,2297,BOD,NCE
60,137,LYS,NCE
61,2297,LYS,NCE
62,1203,TLS,NCE
63,2297,TLS,NCE
64,2297,BSL,NCE
65,137,BIA,NCE
66,596,BIA,NCE
67,1909,BIA,NCE
68,137,CDG,NCE
69,2297,CDG,NCE
70,137,CLY,NCE
71,596,CLY,NCE
72,1909,CLY,NCE
73,137,NTE,NCE
74,2297,NTE,NCE
75,137,AJA,NCE
76,596,AJA,NCE
77,1909,AJA,NCE
78,1203,BES,NCE
79,1203,BIQ,NCE
80,1203,CFE,NCE
81,1203,CFR,NCE
82,1203,ETZ,NCE
83,137,FSC,NCE
84,596,FSC,NCE
85,1909,FSC,NCE
86,137,LIL,NCE
87,2297,LIL,NCE
88,137,ORY,NCE
89,2297,ORY,NCE
90,1203,RNS,NCE
91,137,SXB,NCE
92,4965,LIG,NCE
93,1203,BOD,NTE
94,137,BOD,NTE
95,1203,LYS,NTE
96,2297,LYS,NTE
97,1203,MPL,NTE
98,20577,MPL,NTE
99,1203,TLS,NTE
100,2297,TLS,NTE
101,2297,BSL,NTE
102,137,BIA,NTE
103,20577,BIA,NTE
104,1909,BIA,NTE
105,137,CDG,NTE
106,596,CDG,NTE
107,1203,CLY,NTE
108,20577,CLY,NTE
109,137,NCE,NTE
110,2297,NCE,NTE
111,137,MRS,NTE
112,4296,MRS,NTE
113,137,AJA,NTE
114,20577,AJA,NTE
115,1909,AJA,NTE
116,1203,FSC,NTE
117,20577,FSC,NTE
118,1203,LIL,NTE
119,137,ORY,NTE
120,20577,PGF,NTE
121,1203,SXB,NTE
122,20577,SXB,NTE
123,1203,BOD,SXB
124,20577,BOD,SXB
125,1203,LYS,SXB
126,1203,MPL,SXB
127,20577,MPL,SXB
128,137,TLS,SXB
129,20577,BIA,SXB
130,137,NCE,SXB
131,1203,MRS,SXB
132,1203,NTE,SXB
133,20577,NTE,SXB
134,20577,AJA,SXB
135,20577,BIQ,SXB
136,1203,LIL,SXB
137,137,ORY,SXB
138,137,BOD,CDG
139,596,BOD,CDG
140,137,LYS,CDG
141,5479,LYS,CDG
142,137,MPL,CDG
143,596,MPL,CDG
144,137,TLS,CDG
145,596,TLS,CDG
146,5479,TLS,CDG
147,2297,TLS,CDG
148,137,BSL,CDG
149,3090,BSL,CDG
150,1057,BSL,CDG
151,2297,BIA,CDG
152,137,CLY,CDG
153,137,NCE,CDG
154,2297,NCE,CDG
155,137,MRS,CDG
156,321,MRS,CDG
157,2350,MRS,CDG
158,596,MRS,CDG
159,2009,MRS,CDG
160,2222,MRS,CDG
161,5479,MRS,CDG
162,130,MRS,CDG
163,137,NTE,CDG
164,596,NTE,CDG
165,5479,NTE,CDG
166,2297,AJA,CDG
167,137,BES,CDG
168,596,BES,CDG
169,2297,BIQ,CDG
170,137,CFE,CDG
171,596,CFE,CDG
172,137,PUF,CDG
173,596,PUF,CDG
174,137,RNS,CDG
175,596,RNS,CDG
176,137,BOD,MRS
177,4296,BOD,MRS
178,1203,LYS,MRS
179,1203,TLS,MRS
180,137,BIA,MRS
181,596,BIA,MRS
182,1909,BIA,MRS
183,137,CDG,MRS
184,596,CDG,MRS
185,5479,CDG,MRS
186,137,CLY,MRS
187,596,CLY,MRS
188,1909,CLY,MRS
189,137,NTE,MRS
190,4296,NTE,MRS
191,137,AJA,MRS
192,596,AJA,MRS
193,1909,AJA,MRS
194,137,BES,MRS
195,4296,BES,MRS
196,137,BIQ,MRS
197,4965,ETZ,MRS
198,137,FSC,MRS
199,596,FSC,MRS
200,1909,FSC,MRS
201,137,LIL,MRS
202,4296,LIL,MRS
203,137,ORY,MRS
204,4965,PUF,MRS
205,137,RNS,MRS
206,1203,SXB,MRS
207,4296,TUF,MRS
208,137,BOD,ORY
209,137,LYS,ORY
210,137,MPL,ORY
211,137,TLS,ORY
212,2297,TLS,ORY
213,137,BIA,ORY
214,1909,BIA,ORY
215,137,CLY,ORY
216,1909,CLY,ORY
217,137,NCE,ORY
218,2297,NCE,ORY
219,137,MRS,ORY
220,2421,MRS,ORY
221,137,NTE,ORY
222,1203,AGF,ORY
223,137,AJA,ORY
224,1909,AJA,ORY
225,1203,AUR,ORY
226,137,BES,ORY
227,137,BIQ,ORY
228,1203,BVE,ORY
229,137,CFE,ORY
230,1203,CFR,ORY
231,1203,DCM,ORY
232,1909,FSC,ORY
233,1203,LAI,ORY
234,1203,LDE,ORY
235,1203,LRH,ORY
236,1203,LRT,ORY
237,1203,PGF,ORY
238,137,PUF,ORY
239,1203,RDZ,ORY
240,137,SXB,ORY
241,1203,UIP,ORY
242,4965,LIG,ORY
243,137,TLN,ORY
244,4965,PGX,ORY
245,2757,LPY,ORY
246,3613,BOD,BES
247,1203,LYS,BES
248,2297,LYS,BES
249,20577,BIA,BES
250,137,CDG,BES
251,596,CDG,BES
252,1203,NCE,BES
253,137,MRS,BES
254,4296,MRS,BES
255,20577,AJA,BES
256,137,ORY,BES
257,3613,BOD,RNS
258,1203,LYS,RNS
259,1203,TLS,RNS
260,137,CDG,RNS
261,596,CDG,RNS
262,1203,NCE,RNS
263,137,MRS,RNS
264,2297,BOD,BSL
265,2297,MPL,BSL
266,2297,TLS,BSL
267,137,CDG,BSL
268,3090,CDG,BSL
269,1057,CDG,BSL
270,2297,NCE,BSL
271,2297,NTE,BSL
272,2297,AJA,BSL
273,20577,BOD,AJA
274,137,LYS,AJA
275,596,LYS,AJA
276,2297,LYS,AJA
277,1909,LYS,AJA
278,20577,MPL,AJA
279,137,TLS,AJA
280,20577,TLS,AJA
281,1909,TLS,AJA
282,2297,BSL,AJA
283,2297,CDG,AJA
284,137,NCE,AJA
285,596,NCE,AJA
286,1909,NCE,AJA
287,137,MRS,AJA
288,596,MRS,AJA
289,1909,MRS,AJA
290,137,NTE,AJA
291,20577,NTE,AJA
292,1909,NTE,AJA
293,20577,BES,AJA
294,1203,BVE,AJA
295,20577,CFR,AJA
296,1203,DCM,AJA
297,2684,LIL,AJA
298,20577,LIL,AJA
299,137,ORY,AJA
300,1909,ORY,AJA
301,1203,PIS,AJA
302,20577,SXB,AJA
303,3613,AVN,AJA
304,20577,BOD,BIA
305,137,LYS,BIA
306,2297,LYS,BIA
307,1909,LYS,BIA
308,2297,TLS,BIA
309,20577,TLS,BIA
310,2297,CDG,BIA
311,137,NCE,BIA
312,596,NCE,BIA
313,1909,NCE,BIA
314,137,MRS,BIA
315,596,MRS,BIA
316,1909,MRS,BIA
